"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"154796",698.363202505035,-0.960337087042444,0.104572535492489,-9.18345416910566,4.17480234378783e-20,4.34578946370565e-18
"25941",6858.59382052829,0.747276379945222,0.0813939779195461,9.18097872896527,4.27190808839532e-20,4.42569677957756e-18
"7004",202.1182322381,-1.62849644242058,0.17781936443079,-9.15815016904085,5.27945125818471e-20,5.44358964801263e-18
"114904",18884.1564541328,0.373494000592303,0.0408324027991865,9.14700029849197,5.85363554166916e-20,6.00715541719595e-18
"8560",1734.97176979431,-0.466807557449111,0.051050240026653,-9.14408154017285,6.01387010792096e-20,6.142617749668e-18
"55268",229.88047811672,-1.82434926265123,0.199811077682566,-9.13037096746719,6.82649691324763e-20,6.94005919834652e-18
"105372578",77.4069905489687,-3.61880029790155,0.396906884605617,-9.11750447840514,7.68740190525669e-20,7.77893562096579e-18
"25939",382.30975931858,-0.833419510335207,0.0914357935942063,-9.11480589356437,7.88114252158814e-20,7.93806188424406e-18
"6322",88.8399974913682,-1.85062578796797,0.203242577616181,-9.10550244773434,8.58680464275321e-20,8.60896413860548e-18
"201255",657.197252753,1.00968873719373,0.110952213535504,9.10021265029235,9.0155135389712e-20,8.99731708962648e-18
"54443",498.653772497371,-1.85892829505372,0.204535565917416,-9.08853326665102,1.00384066876358e-19,9.9724007258541e-18
"1728",1075.051994691,-1.00824122192529,0.11103250701705,-9.08059494478015,1.07982969077516e-19,1.06785339784111e-17
"10131",765.523896238172,-0.882371890249122,0.0971833274074219,-9.07945749325861,1.09117361157808e-19,1.07418882775985e-17
"11245",47.850752999167,-2.79936964874048,0.308507150091923,-9.07392145662226,1.14808880157833e-19,1.12512702554676e-17
"1969",1258.99197636128,-1.40548111625077,0.155211138395478,-9.05528514757491,1.36211426119641e-19,1.32888600298606e-17
"2035",566.458865997697,-0.998240199885371,0.110286665453559,-9.05132271231579,1.41246841710734e-19,1.3718599501155e-17
"4337",113.536798120871,-1.54663516337563,0.171344363850891,-9.02647235436097,1.7729492756062e-19,1.71432375289282e-17
"57175",7611.46155343899,0.918318108831463,0.10180495761301,9.02036728233071,1.87459745232916e-19,1.80459036163156e-17
"51291",1762.40195179739,0.821382183864623,0.091124509102652,9.01384481467367,1.98956154008313e-19,1.90682382669817e-17
"1491",479.701531754281,-1.22977154171898,0.136469509625471,-9.01132820872576,2.03575784973342e-19,1.94254156924563e-17
"123920",3486.13447818963,0.750791212182039,0.0834488516251808,8.99702269785924,2.31921618740236e-19,2.20335665384828e-17
"22877",386.402651301979,-2.2764651663187,0.253089291666811,-8.99471151594846,2.3685342178655e-19,2.24042741060355e-17
"126353",126.333030182035,-2.76334253874039,0.30732324231561,-8.99164839573877,2.43549772862249e-19,2.29379604259354e-17
"89958",57.1140463740895,-2.75338145838121,0.307515820833313,-8.95362538070409,3.43994762013802e-19,3.22584053550529e-17
"7881",1845.13644671523,0.702607558265382,0.0784834347063433,8.95230389564736,3.48138980892803e-19,3.25069170313468e-17
"220134",71.8730039393878,-3.09670320090799,0.346256097448009,-8.94338965791923,3.7741213514566e-19,3.49403336690594e-17
