MCODE::Clusters (1),MCODE::Node Status (1),MCODE::Score (1),name,selected,shared name
,Unclustered,0,C6orf132,FALSE,C6orf132
,Unclustered,0,TTC9,FALSE,TTC9
,Unclustered,0.4,PODXL,FALSE,PODXL
,Unclustered,3,EPB41,FALSE,EPB41
,Unclustered,0,CADM4,FALSE,CADM4
,Unclustered,0.857142857,GART,FALSE,GART
,Unclustered,0,EHD2,FALSE,EHD2
,Unclustered,0,CCL28,FALSE,CCL28
,Unclustered,2,CXCL16,FALSE,CXCL16
,Unclustered,2,FSTL1,FALSE,FSTL1
,Unclustered,2.4,CDK17,FALSE,CDK17
Cluster 5,Clustered,4,WNT7B,FALSE,WNT7B
Cluster 5,Clustered,4,TCF7,FALSE,TCF7
,Unclustered,3,FAT1,FALSE,FAT1
,Unclustered,1.2,TACSTD2,FALSE,TACSTD2
,Unclustered,0,MYEOV,FALSE,MYEOV
,Unclustered,0.666666667,MYBL1,FALSE,MYBL1
,Unclustered,0.666666667,NCR3LG1,FALSE,NCR3LG1
,Unclustered,0.666666667,KCTD12,FALSE,KCTD12
,Unclustered,2,MAPKAPK3,FALSE,MAPKAPK3
,Unclustered,4,DDIAS,FALSE,DDIAS
,Unclustered,0.666666667,SAPCD2,FALSE,SAPCD2
,Unclustered,2,VARS1,FALSE,VARS1
,Unclustered,2,PTPRU,FALSE,PTPRU
,Unclustered,0.666666667,CEP85,FALSE,CEP85
,Unclustered,2,MARVELD3,FALSE,MARVELD3
,Unclustered,1.4,PLEKHA7,FALSE,PLEKHA7
,Unclustered,2,RHPN2,FALSE,RHPN2
,Unclustered,2,MYH14,FALSE,MYH14
Cluster 7,Clustered,1.666666667,CMAS,FALSE,CMAS
Cluster 7,Clustered,2,SLC17A5,FALSE,SLC17A5
Cluster 7,Seed,2,NPL,FALSE,NPL
Cluster 7,Clustered,1.666666667,NANP,FALSE,NANP
,Unclustered,0,CMTM3,FALSE,CMTM3
,Unclustered,0,MOB3C,FALSE,MOB3C
,Unclustered,0.5,CNN2,FALSE,CNN2
,Unclustered,0.666666667,CNN3,FALSE,CNN3
,Unclustered,3,FAM83H,FALSE,FAM83H
Cluster 8,Clustered,3,PLOD2,FALSE,PLOD2
,Unclustered,2.7,LAMA3,FALSE,LAMA3
,Unclustered,2.142857143,LAMB3,FALSE,LAMB3
,Unclustered,0,MOCS1,FALSE,MOCS1
,Unclustered,0.5,COTL1,FALSE,COTL1
,Unclustered,0,TCIRG1,FALSE,TCIRG1
,Unclustered,2,HINT1,FALSE,HINT1
,Unclustered,0,CREG1,FALSE,CREG1
,Unclustered,0.666666667,HERPUD1,FALSE,HERPUD1
,Unclustered,0,SLC7A6OS,FALSE,SLC7A6OS
,Unclustered,0.666666667,MYO1D,FALSE,MYO1D
,Unclustered,2,NEURL1,FALSE,NEURL1
,Unclustered,0.666666667,TOB1,FALSE,TOB1
,Unclustered,2,DLX5,FALSE,DLX5
,Unclustered,0.4,PSTPIP2,FALSE,PSTPIP2
,Unclustered,2,UACA,FALSE,UACA
,Unclustered,0,RHOBTB1,FALSE,RHOBTB1
,Unclustered,0,DENND1C,FALSE,DENND1C
,Unclustered,0.666666667,MADD,FALSE,MADD
,Unclustered,0.666666667,PRRG4,FALSE,PRRG4
Cluster 5,Clustered,5,PLCB2,FALSE,PLCB2
,Unclustered,0,DNAJC15,FALSE,DNAJC15
Cluster 5,Clustered,5,SYNJ2,FALSE,SYNJ2
,Unclustered,0.666666667,PHF19,FALSE,PHF19
,Unclustered,0.666666667,GALNT1,FALSE,GALNT1
,Unclustered,0.666666667,HPGD,FALSE,HPGD
,Unclustered,0,EHBP1L1,FALSE,EHBP1L1
,Unclustered,0.5,PDLIM1,FALSE,PDLIM1
,Unclustered,0,NUAK1,FALSE,NUAK1
,Unclustered,1.666666667,SHB,FALSE,SHB
,Unclustered,0,ENOSF1,FALSE,ENOSF1
,Unclustered,0,ENTPD6,FALSE,ENTPD6
,Unclustered,2,EPB41L1,FALSE,EPB41L1
,Unclustered,0,NETO2,FALSE,NETO2
,Unclustered,0.666666667,NBEAL2,FALSE,NBEAL2
,Unclustered,3,SERPINB2,FALSE,SERPINB2
,Unclustered,0,FAM160B2,FALSE,FAM160B2
,Unclustered,0.666666667,HOOK1,FALSE,HOOK1
,Unclustered,0,FAM219A,FALSE,FAM219A
,Unclustered,0,MYORG,FALSE,MYORG
,Unclustered,1.821428571,ITGB6,FALSE,ITGB6
,Unclustered,2,SPINT1,FALSE,SPINT1
,Unclustered,0.5,KIRREL1,FALSE,KIRREL1
,Unclustered,0.5,FBLIM1,FALSE,FBLIM1
,Unclustered,0,PYCR1,FALSE,PYCR1
,Unclustered,2,FES,FALSE,FES
,Unclustered,0.4,NEFH,FALSE,NEFH
,Unclustered,1.066666667,PLXNA2,FALSE,PLXNA2
,Unclustered,0.5,SLC26A2,FALSE,SLC26A2
,Unclustered,0,FHOD3,FALSE,FHOD3
,Unclustered,2,ST14,FALSE,ST14
,Unclustered,1.666666667,STAU1,FALSE,STAU1
,Unclustered,0.666666667,MUC15,FALSE,MUC15
Cluster 10,Clustered,1.666666667,TRAP1,FALSE,TRAP1
,Unclustered,0,GJB3,FALSE,GJB3
,Unclustered,0.5,UBASH3B,FALSE,UBASH3B
,Unclustered,0,GRM4,FALSE,GRM4
Cluster 10,Seed,2,PLAAT3,FALSE,PLAAT3
,Unclustered,0.666666667,PTGR1,FALSE,PTGR1
,Unclustered,0,NNT,FALSE,NNT
,Unclustered,0.666666667,MGAT5B,FALSE,MGAT5B
,Unclustered,0,IWS1,FALSE,IWS1
,Unclustered,0.666666667,TNKS1BP1,FALSE,TNKS1BP1
,Unclustered,2,WDR62,FALSE,WDR62
,Unclustered,0.666666667,TMEM51,FALSE,TMEM51
,Unclustered,3,KIF13B,FALSE,KIF13B
,Unclustered,0.666666667,SLC12A3,FALSE,SLC12A3
,Unclustered,0.666666667,STON2,FALSE,STON2
,Unclustered,2,LRRC45,FALSE,LRRC45
,Unclustered,0.5,MFSD11,FALSE,MFSD11
,Unclustered,0,MFSD6,FALSE,MFSD6
,Unclustered,0,MICA,FALSE,MICA
,Unclustered,0.666666667,QPCT,FALSE,QPCT
,Unclustered,0.666666667,ST3GAL2,FALSE,ST3GAL2
,Unclustered,0,WDTC1,FALSE,WDTC1
,Unclustered,0,UBE2L6,FALSE,UBE2L6
,Unclustered,0,SGK3,FALSE,SGK3
,Unclustered,0,NRIP3,FALSE,NRIP3
,Unclustered,0,NRK,FALSE,NRK
,Unclustered,0,RESF1,FALSE,RESF1
,Unclustered,2,NRP2,FALSE,NRP2
,Unclustered,0,OBSL1,FALSE,OBSL1
,Unclustered,0,PHOSPHO1,FALSE,PHOSPHO1
Cluster 5,Seed,5,PIP4K2A,FALSE,PIP4K2A
,Unclustered,0.666666667,PLB1,FALSE,PLB1
,Unclustered,0.666666667,TSPAN33,FALSE,TSPAN33
,Unclustered,0,PXDC1,FALSE,PXDC1
,Unclustered,0,SLC22A23,FALSE,SLC22A23
,Unclustered,0,QSOX1,FALSE,QSOX1
,Unclustered,0,SLPI,FALSE,SLPI
,Unclustered,1.666666667,RAP1GAP2,FALSE,RAP1GAP2
,Unclustered,2,RAP1GAP,FALSE,RAP1GAP
,Unclustered,0,S100A13,FALSE,S100A13
,Unclustered,0,S100A16,FALSE,S100A16
,Unclustered,0.666666667,SLC26A6,FALSE,SLC26A6
,Unclustered,0,SERPINB6,FALSE,SERPINB6
Cluster 6,Clustered,1.666666667,SLC1A4,FALSE,SLC1A4
Cluster 6,Clustered,2,SLC38A3,FALSE,SLC38A3
Cluster 6,Seed,2,SLC7A4,FALSE,SLC7A4
Cluster 6,Clustered,1.666666667,SLC7A6,FALSE,SLC7A6
,Unclustered,0,SLC45A3,FALSE,SLC45A3
,Unclustered,0,VASN,FALSE,VASN
,Unclustered,0,TMEM106C,FALSE,TMEM106C
